Course Name,Hours,Price (USD),Course Level
SAT 1on1,50,10300,High school (9th - 12th)
SAT 1on2,50,7250,High school (9th - 12th)
SAT 1on4 (summer),78,7000,High school (9th - 12th)
SAT 1on1 (sprint),25,5750,High school (9th - 12th)
SAT 1on4 (regular),50,4500,High school (9th - 12th)
ACT 1on1,50,10300,High school (9th - 12th)
ACT 1on2,50,7250,High school (9th - 12th)
ESL 1on1,50,4000,High school (9th - 12th)
ESL 1on2,50,3500,High school (9th - 12th)
Writing 1on1,50,5000,High school (9th - 12th)
Writing 1on2,50,4500,High school (9th - 12th)
Regent 1on1,50,4500,High school (9th - 12th)
Regent 1on2,50,4000,High school (9th - 12th)
School Subject 1on1,50,4000,High school (9th - 12th)
School Subject 1on2,50,3500,High school (9th - 12th)
Hornor course 1on1,50,4500,High school (9th - 12th)
School Subject 1on1,50,3500,Middle School (6th - 8th)
School Subject 1on2,50,3000,Middle School (6th - 8th)
SHSAT 1on1,50,4000,Middle School (6th - 8th)
SHSAT 1on2,50,3500,Middle School (6th - 8th)
Writing 1on1,50,4000,Middle School (6th - 8th)
Writing 1on2,50,3500,Middle School (6th - 8th)
ESL 1on1,50,3500,Middle School (6th - 8th)
ESL 1on2,50,3000,Middle School (6th - 8th)
State Test 1on1,50,3750,Middle School (6th - 8th)
State Test 1on2,50,3250,Middle School (6th - 8th)
Hunter 1on1,50,4500,Middle School (6th - 8th)
Hunter 1on2,50,3750,Middle School (6th - 8th)
School Subject 1on1,50,3000,Primary School (1st - 5th)
School Subject 1on2,50,2500,Primary School (1st - 5th)
Writing 1on1,50,3500,Primary School (1st - 5th)
Writing 1on2,50,3000,Primary School (1st - 5th)
ESL 1on1,50,3000,Primary School (1st - 5th)
ESL 1on2,50,2500,Primary School (1st - 5th)
State Test 1on1,50,3250,Primary School (1st - 5th)
State Test 1on2,50,2750,Primary School (1st - 5th)